age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37,Local-gov,184474,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,2977,0,55,United-States,<=50K
64,Private,292639,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,10566,0,35,United-States,<=50K
42,Local-gov,100793,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
27,Private,167405,HS-grad,9,Married-spouse-absent,Farming-fishing,Own-child,White,Female,0,0,40,Mexico,<=50K
27,Private,182843,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,40,United-States,<=50K
43,Private,52498,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,>50K
24,Private,59792,Masters,14,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
39,Local-gov,166497,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,>50K
23,Private,196508,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,24,United-States,<=50K
51,Private,350131,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2339,40,United-States,<=50K
29,Private,328981,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
55,Private,194290,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,171015,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
29,Private,199499,Assoc-voc,11,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
17,Private,151799,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
18,Private,395026,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
46,Private,211226,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,Other,Male,0,0,36,United-States,<=50K
44,Self-emp-not-inc,98106,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Private,150011,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
18,State-gov,391257,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,16,United-States,<=50K
23,Private,45317,Some-college,10,Separated,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
38,Private,89202,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
61,Private,284710,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,45,Columbia,>50K
32,Private,112176,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
66,Private,185336,HS-grad,9,Widowed,Sales,Other-relative,White,Female,0,0,35,United-States,<=50K
64,Private,191477,5th-6th,3,Widowed,Priv-house-serv,Unmarried,Black,Female,0,0,4,United-States,<=50K
42,Private,220776,HS-grad,9,Separated,Handlers-cleaners,Unmarried,White,Male,0,0,40,Poland,<=50K
65,Private,185001,10th,6,Widowed,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
28,Private,108574,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,United-States,<=50K
30,Private,46492,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,40,United-States,>50K
43,Private,271807,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
62,Private,235997,12th,8,Widowed,Adm-clerical,Unmarried,White,Female,0,0,37,Mexico,<=50K
30,Private,173005,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,44,United-States,<=50K
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
31,Private,312667,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,121466,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,State-gov,222978,Doctorate,16,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,>50K
55,Local-gov,161662,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
49,Private,255559,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
34,Self-emp-inc,127651,Bachelors,13,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,60,United-States,<=50K
52,Local-gov,203953,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Puerto-Rico,>50K
66,Self-emp-not-inc,219220,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,2290,0,40,Germany,<=50K
25,Private,188767,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
40,Private,163434,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
21,Private,35424,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
47,Private,111994,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,34,United-States,<=50K
23,Private,213811,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
55,Private,327406,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,65,United-States,>50K
27,Private,230959,Bachelors,13,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
50,Self-emp-inc,121441,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,>50K
35,Private,117381,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,8614,0,45,United-States,>50K
44,Local-gov,68318,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,55,United-States,<=50K
18,State-gov,191117,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
17,Local-gov,161955,11th,7,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,0,0,30,United-States,<=50K
36,Private,334366,11th,7,Separated,Exec-managerial,Not-in-family,White,Female,0,0,32,United-States,<=50K
43,Private,459342,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,276309,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Female,0,0,20,United-States,<=50K
36,Private,393673,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K
43,Self-emp-not-inc,194726,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
31,Private,502752,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
47,Private,664821,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,El-Salvador,<=50K
37,Private,168941,11th,7,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,156926,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
27,Private,109881,Bachelors,13,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
29,Private,115677,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,195258,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
23,Private,300275,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,48,United-States,<=50K
34,Private,340917,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,2174,0,45,United-States,<=50K
26,Private,133766,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,<=50K
51,Private,138022,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
24,Private,283896,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Local-gov,100135,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,>50K
48,Private,254291,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
40,Private,75615,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,43,United-States,<=50K
37,State-gov,62428,Some-college,10,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,15,United-States,<=50K
86,Private,149912,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Local-gov,256356,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,25,United-States,<=50K
44,Private,32000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
32,Private,164243,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60,United-States,>50K
27,Private,216481,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
22,Private,115892,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,Private,202521,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,<=50K
45,Local-gov,213620,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
25,Self-emp-not-inc,113948,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,White,Female,0,0,45,United-States,<=50K
35,Private,99156,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
54,Private,226497,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
35,State-gov,98776,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
34,Private,98656,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
58,Private,152874,Some-college,10,Widowed,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
36,Private,321760,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,17,United-States,<=50K
48,Self-emp-inc,138370,Masters,14,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,50,India,<=50K
35,Private,175232,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Federal-gov,71823,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
18,Private,256967,10th,6,Never-married,Sales,Other-relative,Black,Female,0,0,40,United-States,<=50K
39,Private,186719,Some-college,10,Separated,Craft-repair,Unmarried,White,Female,0,0,25,United-States,<=50K
49,Private,133351,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,Black,Female,0,0,40,United-States,<=50K
44,Private,228057,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,Puerto-Rico,<=50K
33,Private,215288,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K
41,Private,112181,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,12,United-States,>50K
56,Self-emp-inc,105582,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
58,Self-emp-not-inc,105592,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
41,Local-gov,51111,Bachelors,13,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,316820,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,>50K
45,Private,387074,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,112900,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
24,Private,233856,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,45,United-States,<=50K
26,Private,219815,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
30,Local-gov,181372,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,33,United-States,>50K
23,Private,167692,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
50,Local-gov,20795,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
21,Private,410439,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,24,United-States,<=50K
49,Private,184428,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
50,Private,108926,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
36,Private,195385,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
33,Self-emp-not-inc,656488,Assoc-voc,11,Divorced,Tech-support,Unmarried,Black,Male,0,0,50,United-States,<=50K
38,Private,217349,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,14344,0,40,United-States,>50K
44,Private,75227,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,14084,0,40,United-States,>50K
47,Private,278322,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,>50K
61,Private,362068,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
42,Private,444134,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
28,Local-gov,25864,HS-grad,9,Never-married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K
24,Self-emp-not-inc,31606,Bachelors,13,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,0,20,United-States,>50K
56,Private,208431,Some-college,10,Widowed,Exec-managerial,Not-in-family,Black,Female,0,0,32,United-States,<=50K
61,Private,195453,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
44,Private,160837,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
30,Private,131415,Bachelors,13,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,60,United-States,<=50K
30,Private,241259,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,24562,Bachelors,13,Divorced,Other-service,Unmarried,Other,Female,0,0,40,United-States,<=50K
44,Local-gov,277533,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
51,Private,84399,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
69,Private,228921,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,>50K
64,Private,207188,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,411068,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
42,Private,120837,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,<=50K
40,Self-emp-not-inc,55363,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3411,0,40,United-States,<=50K
31,Private,109055,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3137,0,45,United-States,<=50K
54,Local-gov,163557,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
29,Private,108775,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
24,Private,22201,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,40,Thailand,<=50K
33,Private,34572,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,51944,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,4386,0,40,United-States,>50K
37,Local-gov,189878,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,<=50K
22,Private,369549,Some-college,10,Never-married,Other-service,Not-in-family,Black,Female,0,0,30,United-States,<=50K
57,Private,334224,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Female,9386,0,40,United-States,>50K
45,Private,276839,Some-college,10,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
